item,price
Ponni Rice Raw /ಪೋನ್ನಿ ಅಕ್ಕಿ,100
Sona Masuri Rice - Polish/ಸೋನಾ ಮಸೂರಿ ಅಕ್ಕಿ ಪಾಲಿಷ್ಡ್,100
Red Rice / ಕೆಂಪಕ್ಕಿ,110
Idli Rice/ ಇಡ್ಲಿ ಅಕ್ಕಿ,89
White Basumathi Rice/ ಬಾಸ್ಮತಿ ಅಕ್ಕಿ ಪಾಲಿಶ್,190
Black Rice/ ಕಪ್ಪಕ್ಕಿ,225
Thooya Malli Rice‌ / ತೂಯಾ ಮಲ್ಲಿ ಅಕ್ಕಿ,140
Barnyard Millet Grits /ಊದಲು ತರಿ,128
"Barnyard Millet Idli Rava – ఊద్ర్ ఇడ్లీ ర్వ్వ ",178
Browntop Millet Grits / ಕೊರಲೆ ತರಿ,151
Browntop Millet Idli Rava – అండుకొర్ర ఇడ్లీ ర్వ్వ,203
Finger Millet Idli Rava – రమగి ఇడ్లీ ర్వ్వ,134
Foxtail Millet Grits / ನವಣೆ ತರಿ,116
"Foxtail Millet Idli Rava - కొర్రఇడ్లీ ర్వ్వ ",163
Kodo Millet Grits / ಹರ್ಕಾ ತರಿ,112
Kodo Millet Idli Rava – ఆరిక ఇడ్లీ ర్వ్వ,154
Little Millet (Same) Grits / ಸಾಮೆ ತರಿ,135
"Little Millet Idli Rava – సమమ ఇడ్లీ ర్వ్వ ",154
Pearl Millet Grits / ಸಜ್ಜೆ ತರಿ,103
Proso Millet Grits / ಬರಗು ತರಿ,113
Proso Millet Idli Rava - బరిగ ఇడ్లీ ర్వ్వ,156
Channa Dal/ಕಡ್ಲೆಬೇಳೆ,185
Moong Dal/ಹೆಸರು ಬೇಳೆ,245
Toor dal/ ತೊಗರಿ ಬೇಳೆ,255
Urad dal/ ಉದ್ದಿನ ಬೇಳೆ,215
Urad Whole White (Gola)/ ಉದ್ದಿನ ಕಾಳು ಬಿಳಿ (ಗೋಲ್),220
Urad dal With Skin/ ಉದ್ದಿನ ಬೇಳೆ ಸಿಪ್ಪೆಸಹಿತ,275
Bengal Gram(Brown)/ಕಡ್ಲೆಕಾಳು,165
Cowpea White/ಅಲಸಂದಿ ಬಿಳಿ,170
Green Gram Whole/ಹೆಸರು ಕಾಳು,245
